"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2023","115.47","115.64","116.86","110.65","34.60M","0.09%"
"04/16/2023","115.37","115.69","116.44","113.00","27.93M","0.05%"
"04/09/2023","115.31","112.96","116.17","111.17","30.56M","2.65%"
"04/02/2023","112.33","105.95","114.17","105.57","27.97M","5.58%"
"03/26/2023","106.39","106.08","107.61","104.53","32.75M","1.52%"
"03/19/2023","104.80","104.82","106.91","102.44","43.61M","0.67%"
"03/12/2023","104.10","104.47","108.84","103.49","67.28M","-3.33%"
"03/05/2023","107.69","107.66","112.18","107.11","55.60M","0.76%"
"02/26/2023","106.88","110.03","110.13","105.96","33.19M","-2.74%"
"02/19/2023","109.89","108.90","111.24","108.63","26.67M","0.34%"
"02/12/2023","109.52","108.71","110.00","105.52","36.22M","0.88%"
"02/05/2023","108.57","103.43","108.76","102.84","41.14M","5.47%"
"01/29/2023","102.94","105.57","107.44","101.75","51.96M","-2.32%"
"01/22/2023","105.38","109.93","110.36","105.11","40.05M","-4.15%"
"01/15/2023","109.94","112.03","112.49","108.10","35.03M","-2.06%"
"01/08/2023","112.25","114.88","114.93","108.75","48.28M","-2.26%"
"01/01/2023","114.84","110.41","115.49","109.49","34.97M","3.51%"
"12/25/2022","110.95","112.41","112.89","110.12","20.20M","-0.81%"
"12/18/2022","111.86","109.19","112.13","108.77","34.53M","2.44%"
"12/11/2022","109.20","107.93","112.17","107.32","76.92M","0.39%"
"12/04/2022","108.78","109.81","111.37","108.42","39.71M","-1.15%"
"11/27/2022","110.04","107.13","110.98","107.13","56.24M","2.36%"
"11/20/2022","107.50","105.00","107.50","104.23","26.11M","3.14%"
"11/13/2022","104.23","98.70","104.60","98.70","45.81M","6.40%"
"11/06/2022","97.96","98.50","103.76","97.33","50.65M","-1.25%"
"10/30/2022","99.20","99.95","101.36","97.96","50.42M","-1.56%"
"10/23/2022","100.77","96.45","101.50","96.27","53.99M","5.33%"
"10/16/2022","95.67","92.84","95.96","92.36","48.14M","3.79%"
"10/09/2022","92.18","89.93","93.36","89.27","51.98M","5.23%"
"10/02/2022","87.60","86.72","88.78","86.02","39.52M","1.72%"
"09/25/2022","86.12","86.12","87.63","85.29","37.85M","-0.76%"
"09/18/2022","86.78","86.85","88.15","84.52","41.76M","-1.07%"
"09/11/2022","87.72","88.13","89.17","86.11","46.27M","0.44%"
"09/04/2022","87.34","86.58","88.17","85.07","29.96M","1.29%"
"08/28/2022","86.23","88.83","89.00","85.16","40.73M","-3.39%"
"08/21/2022","89.26","91.81","92.22","89.07","28.99M","-3.06%"
"08/14/2022","92.08","90.82","93.02","89.87","33.43M","1.16%"
"08/07/2022","91.02","87.30","91.03","86.81","49.22M","4.13%"
"07/31/2022","87.41","89.34","90.01","86.02","39.77M","-2.16%"
"07/24/2022","89.34","90.20","91.95","87.42","48.59M","-0.85%"
"07/17/2022","90.11","94.90","95.10","88.91","43.28M","-5.11%"
"07/10/2022","94.96","92.88","95.35","92.06","39.75M","2.35%"
"07/03/2022","92.78","92.44","94.51","90.53","35.33M","0.39%"
"06/26/2022","92.42","93.20","95.72","90.39","64.10M","-0.76%"
"06/19/2022","93.13","86.05","93.79","85.27","63.68M","10.06%"
"06/12/2022","84.62","85.71","86.51","83.05","80.51M","-2.94%"
"06/05/2022","87.18","90.17","90.82","86.71","45.09M","-3.04%"
"05/29/2022","89.91","91.91","92.62","88.74","51.47M","-3.41%"
"05/22/2022","93.08","93.59","94.92","91.00","56.32M","-0.50%"
"05/15/2022","93.55","90.79","94.56","90.68","67.18M","3.47%"
"05/08/2022","90.41","87.50","91.05","86.91","65.13M","2.29%"
"05/01/2022","88.39","88.72","88.92","86.36","53.09M","-0.34%"
"04/24/2022","88.69","84.59","90.01","83.53","67.38M","4.85%"
"04/17/2022","84.59","86.42","87.45","84.50","41.69M","-2.67%"
"04/10/2022","86.91","88.32","89.48","84.83","61.76M","-0.88%"
"04/03/2022","87.68","83.50","87.83","82.73","59.52M","4.98%"
"03/27/2022","83.52","81.37","83.58","80.73","46.35M","2.68%"
"03/20/2022","81.34","79.67","81.38","78.76","43.70M","2.82%"
"03/13/2022","79.11","77.90","79.74","77.31","63.78M","1.09%"
"03/06/2022","78.26","77.01","79.63","76.08","52.34M","0.55%"
"02/27/2022","77.83","75.83","77.86","74.78","54.04M","1.98%"
"02/20/2022","76.32","76.46","77.29","72.88","53.51M","-0.07%"
"02/13/2022","76.37","76.63","78.19","75.11","48.96M","-0.35%"
"02/06/2022","76.64","78.79","78.92","75.82","78.06M","-2.44%"
"01/30/2022","78.56","81.02","82.29","78.20","67.72M","-2.89%"
"01/23/2022","80.90","79.77","81.60","76.65","78.11M","1.15%"
"01/16/2022","79.98","81.10","82.16","79.24","56.47M","-1.72%"
"01/09/2022","81.38","80.54","82.56","79.67","63.44M","1.34%"
"01/02/2022","80.30","76.58","80.53","75.35","65.44M","4.78%"
"12/26/2021","76.64","76.00","77.61","75.77","29.87M","1.20%"
"12/19/2021","75.73","75.70","76.56","74.89","45.92M","0.05%"
"12/12/2021","75.69","72.37","77.74","71.97","95.44M","4.23%"
"12/05/2021","72.62","73.30","73.85","71.50","68.81M","-0.98%"
